1,6494.60,15,82,86,209,1,1
2,3361.98,35,22,324,571,2,2
3,5434.16,25,72,827,553,3,3
4,2572.40,56,80,901,23,4,4
5,6556.96,10,4,675,966,5,5
6,3073.43,17,42,472,931,6,6
7,7162.33,42,90,156,32,7,7
8,525.24,59,89,554,282,8,8
9,4359.22,44,55,674,626,9,9
10,2699.58,65,42,480,164,10,10
11,5996.13,35,60,532,307,11,11
12,3162.66,39,73,488,98,12,12
13,1282.95,33,3,637,884,13,13
14,6591.04,52,88,358,902,14,14
15,8260.86,11,7,379,976,15,15
16,4106.43,4,35,895,88,16,16
17,1759.17,65,59,483,406,17,17
18,3064.71,38,20,177,816,18,18
19,470.18,41,27,881,304,19,19
20,3101.64,48,20,31,905,20,20
21,1026.14,4,40,731,126,21,21
22,4000.88,69,56,912,548,22,22
23,9446.04,32,59,590,595,23,23
24,6721.74,49,80,985,944,24,24
25,1146.52,36,69,199,949,25,25
26,4535.15,13,81,533,704,26,26
27,8723.76,54,47,891,888,27,27
28,2438.49,35,6,211,100,28,28
29,402.32,43,47,838,819,29,29
30,6635.47,60,62,447,933,30,30
31,9075.03,39,77,998,728,31,31
32,582.02,58,34,462,468,32,32
33,1551.86,2,45,896,344,33,33
34,3064.15,34,32,286,850,34,34
35,4533.83,13,74,497,628,35,35
36,5347.81,23,69,627,417,36,36
37,3570.83,36,76,221,940,37,37
38,2611.82,3,6,122,577,38,38
39,5856.54,36,73,730,834,39,39
40,4183.68,67,27,120,51,40,40
41,2362.27,68,64,261,222,41,41
42,4861.48,21,98,555,432,42,42
43,7766.84,36,47,947,634,43,43
44,1977.77,32,63,727,978,44,44
45,1369.51,34,32,760,847,45,45
46,6329.45,34,68,17,776,46,46
47,8044.79,29,79,226,750,47,47
48,6672.60,11,38,63,541,48,48
49,6382.31,68,17,598,671,49,49
50,6586.41,36,17,308,473,50,50
51,8232.74,9,55,945,941,51,51
52,6404.01,9,23,343,822,52,52
53,1026.68,61,62,719,54,53,53
54,5903.37,55,85,525,51,54,54
55,675.46,18,7,847,934,55,55
56,9808.18,56,27,849,635,56,56
57,2391.05,30,16,364,92,57,57
58,4544.70,57,83,666,382,58,58
59,9767.98,67,4,739,194,59,59
60,5711.65,51,70,692,301,60,60
61,3988.16,21,34,443,152,61,61
62,2767.09,63,36,724,233,62,62
63,1906.75,3,90,799,457,63,63
64,2735.30,22,75,584,644,64,64
65,9928.09,69,85,629,572,65,65
66,1527.60,62,3,364,949,66,66
67,2180.52,9,48,266,426,67,67
68,301.33,26,74,837,687,68,68
69,7579.28,17,69,963,654,69,69
70,4838.62,37,21,776,539,70,70
71,544.38,63,39,444,543,71,71
72,886.33,60,41,827,496,72,72
73,4808.49,9,1,315,743,73,73
74,3742.89,54,34,522,584,74,74
75,2272.79,31,94,541,518,75,75
76,831.21,40,21,762,101,76,76
77,2641.86,30,33,159,150,77,77
78,9780.50,35,57,224,335,78,78
79,7911.54,56,86,526,32,79,79
80,6372.21,51,37,682,271,80,80
81,2800.84,29,90,262,693,81,81
82,7849.84,1,82,876,79,82,82
83,3625.76,11,63,733,501,83,83
84,869.90,32,14,763,46,84,84
85,7004.24,14,76,759,154,85,85
86,2642.70,45,74,765,839,86,86
87,5977.93,63,12,99,845,87,87
88,7986.27,13,91,710,666,88,88
89,226.20,22,30,620,590,89,89
90,3320.21,48,73,779,608,90,90
91,2530.88,22,93,624,255,91,91
92,1169.57,20,42,825,410,92,92
93,7740.23,14,69,412,257,93,93
94,4660.77,40,90,173,882,94,94
95,9835.76,2,11,909,357,95,95
96,7840.43,38,83,13,992,96,96
97,9083.16,34,13,999,219,97,97
98,2845.24,21,46,501,429,98,98
99,9307.09,57,42,616,813,99,99
100,2137.83,38,40,11,930,100,100
101,2879.17,68,61,613,972,101,101
102,7014.72,23,37,146,216,102,102
103,1454.72,25,1,547,256,103,103
104,1564.08,13,74,385,713,104,104
105,8957.78,29,81,318,283,105,105
106,3437.71,50,61,860,716,106,106
107,7282.85,48,13,260,822,107,107
108,755.83,28,59,537,28,108,108
109,9898.87,66,86,10,657,109,109
110,1238.05,36,97,228,674,110,110
111,2058.03,68,10,989,382,111,111
112,4235.11,13,75,465,605,112,112
113,5716.64,46,60,649,566,113,113
114,4115.89,57,91,128,264,114,114
115,6774.12,13,63,724,546,115,115
116,7328.22,4,74,235,906,116,116
117,9386.67,55,30,331,522,117,117
118,5149.77,67,36,577,470,118,118
