1,39,52,86,209,1
2,23,60,324,571,2
3,33,77,827,553,3
4,53,38,901,23,4
5,15,32,675,966,5
6,67,92,472,931,6
7,34,88,156,32,7
8,66,39,554,282,8
9,41,28,674,626,9
10,42,43,480,164,10
11,41,52,532,307,11
12,57,65,488,98,12
13,42,32,637,884,13
14,64,71,358,902,14
15,65,19,379,976,15
16,38,50,895,88,16
17,64,57,483,406,17
18,43,22,177,816,18
19,6,58,881,304,19
20,23,48,31,905,20
21,59,93,731,126,21
22,28,18,912,548,22
23,42,22,590,595,23
24,43,57,985,944,24
25,14,50,199,949,25
26,24,37,533,704,26
27,22,73,891,888,27
28,63,28,211,100,28
29,43,18,838,819,29
30,24,2,447,933,30
31,60,29,998,728,31
32,49,57,462,468,32
33,11,71,896,344,33
34,46,53,286,850,34
35,31,53,497,628,35
36,55,60,627,417,36
37,46,63,221,940,37
38,40,42,122,577,38
39,63,24,730,834,39
40,13,65,120,51,40
41,40,64,261,222,41
42,43,9,555,432,42
43,50,4,947,634,43
44,50,84,727,978,44
45,54,29,760,847,45
46,18,6,17,776,46
47,69,40,226,750,47
48,41,77,63,541,48
49,2,26,598,671,49
50,15,33,308,473,50
51,28,88,945,941,51
52,2,88,343,822,52
53,42,39,719,54,53
54,16,78,525,51,54
55,22,92,847,934,55
56,37,9,849,635,56
57,30,68,364,92,57
58,21,37,666,382,58
59,43,44,739,194,59
60,26,12,692,301,60
61,65,29,443,152,61
62,40,27,724,233,62
63,3,16,799,457,63
64,14,58,584,644,64
65,24,86,629,572,65
66,6,46,364,949,66
67,53,96,266,426,67
68,67,13,837,687,68
69,27,19,963,654,69
70,12,40,776,539,70
71,41,24,444,543,71
72,23,71,827,496,72
73,40,24,315,743,73
74,20,3,522,584,74
75,59,20,541,518,75
76,29,30,762,101,76
77,55,14,159,150,77
78,2,49,224,335,78
79,68,21,526,32,79
80,14,12,682,271,80
81,65,47,262,693,81
82,10,36,876,79,82
83,18,41,733,501,83
84,14,83,763,46,84
85,59,100,759,154,85
86,19,74,765,839,86
87,29,18,99,845,87
88,31,29,710,666,88
89,67,98,620,590,89
90,25,54,779,608,90
91,16,66,624,255,91
92,50,81,825,410,92
93,27,15,412,257,93
94,46,83,173,882,94
95,27,19,909,357,95
96,33,55,13,992,96
97,35,41,999,219,97
98,11,51,501,429,98
99,57,87,616,813,99
100,38,79,11,930,100
101,64,47,613,972,101
102,21,29,146,216,102
103,60,4,547,256,103
104,55,100,385,713,104
105,14,20,318,283,105
106,26,5,860,716,106
107,34,13,260,822,107
108,13,49,537,28,108
109,17,98,10,657,109
110,6,79,228,674,110
111,6,74,989,382,111
112,55,67,465,605,112
113,62,64,649,566,113
114,70,7,128,264,114
115,20,98,724,546,115
116,70,47,235,906,116
117,15,22,331,522,117
118,2,54,577,470,118
119,35,11,827,192,119
120,7,65,278,901,120
121,23,20,681,5,121
122,70,2,655,478,122
123,39,88,257,401,123
124,41,45,322,988,124
125,28,58,457,230,125
126,8,84,507,974,126
127,10,17,38,757,127
128,3,28,463,143,128
129,2,16,484,151,129
130,33,17,411,152,130
131,25,39,794,116,131
132,22,68,861,8,132
133,46,58,651,990,133
134,24,59,945,170,134
135,22,40,213,301,135
136,13,2,276,29,136
137,68,96,981,940,137
138,9,59,51,925,138
139,3,25,351,642,139
140,48,19,300,856,140
141,39,27,793,928,141
142,42,46,203,120,142
143,11,46,96,665,143
144,69,54,125,639,144
145,45,25,9,388,145
146,15,27,775,357,146
147,62,72,864,707,147
148,11,90,7,35,148
149,6,83,147,22,149
150,1,61,673,810,150
151,70,53,743,535,151
152,55,61,34,667,152
153,65,46,257,967,153
154,45,26,704,856,154
155,70,55,350,959,155
156,26,18,663,665,156
157,48,69,58,399,157
158,23,9,436,375,158
159,68,92,667,753,159
160,20,25,644,659,160
161,38,23,30,462,161
162,23,18,341,215,162
163,47,62,976,198,163
164,37,93,99,250,164
165,15,98,557,36,165
166,57,41,419,495,166
167,27,80,691,542,167
168,65,88,210,78,168
169,11,33,783,40,169
170,15,14,38,305,170
171,10,5,526,537,171
172,28,21,531,447,172
173,25,79,756,827,173
174,14,25,398,771,174
175,35,83,559,207,175
176,4,53,140,469,176
177,41,6,820,253,177
178,27,6,531,222,178
179,48,41,168,775,179
180,15,26,23,991,180
181,61,65,920,214,181
182,44,45,301,954,182
183,28,19,328,739,183
184,18,65,459,62,184
185,35,88,830,806,185
186,57,38,173,838,186
187,21,77,151,561,187
188,40,78,560,2,188
189,38,59,159,860,189
190,67,38,441,644,190
191,25,87,276,441,191
192,59,21,37,635,192
193,33,74,884,481,193
194,26,71,234,946,194
195,35,5,177,621,195
196,67,35,436,521,196
197,70,81,507,974,197
198,24,86,745,289,198
199,47,35,693,308,199
200,37,70,900,419,200
201,37,9,670,448,201
202,8,80,300,953,202
203,21,66,496,909,203
204,53,68,406,130,204
205,66,36,75,682,205
206,36,95,757,489,206
207,42,32,91,873,207
208,45,43,224,958,208
209,18,55,260,259,209
210,3,93,107,419,210
211,68,50,44,152,211
212,38,33,763,871,212
213,14,11,360,730,213
214,35,81,405,997,214
215,9,25,60,898,215
216,46,21,495,181,216
217,22,26,342,616,217
218,70,18,541,984,218
219,60,35,603,766,219
220,51,39,724,632,220
221,34,10,8,709,221
222,35,46,234,644,222
223,59,82,810,918,223
224,8,66,355,935,224
225,30,49,989,537,225
226,6,52,572,441,226
227,1,45,575,16,227
228,53,36,122,379,228
229,37,85,517,131,229
230,15,76,939,646,230
231,50,19,932,925,231
232,35,28,595,916,232
233,33,37,888,493,233
234,17,70,319,197,234
235,56,18,743,549,235
236,18,70,172,770,236
237,2,8,998,357,237
238,58,38,528,604,238
239,70,69,170,991,239
240,18,38,87,900,240
241,3,52,343,500,241
242,34,64,750,812,242
243,34,48,276,397,243
244,40,93,939,540,244
245,42,100,716,130,245
246,10,84,466,269,246
247,63,15,116,341,247
248,60,9,624,120,248
249,64,72,43,727,249
250,51,47,754,158,250
251,5,10,188,440,251
252,24,11,637,345,252
253,11,32,317,42,253
254,17,51,295,705,254
255,56,57,747,278,255
256,51,71,76,887,256
257,57,60,827,260,257
258,70,9,66,564,258
259,67,60,417,943,259
260,54,14,100,689,260
261,23,89,531,605,261
262,12,54,177,664,262
263,54,43,886,26,263
264,25,74,469,897,264
265,35,29,383,269,265
266,17,96,38,901,266
267,27,42,978,88,267
268,36,41,775,925,268
269,64,9,237,180,269
270,54,65,423,210,270
271,13,42,277,425,271
272,21,81,210,694,272
273,40,73,247,538,273
274,30,35,406,497,274
275,36,45,271,605,275
276,2,48,263,324,276
277,39,14,700,510,277
278,5,100,194,864,278
279,2,69,513,164,279
280,2,41,556,743,280
281,64,6,643,769,281
282,37,67,290,224,282
283,40,12,617,910,283
284,56,8,10,774,284
