1,618.59
2,250.23
3,488.63
4,184.82
5,761.13
6,841.54
7,226.95
8,192.09
9,600.65
10,255.77
11,709.04
12,325.14
13,523.54
14,746.69
15,163.47
16,372.70
17,310.80
18,600.47
19,793.87
20,300.22
21,895.63
22,219.88
23,627.62
24,807.84
25,143.44
26,653.10
27,631.01
28,974.83
29,531.13
30,565.71
31,950.78
32,469.25
33,834.82
34,588.14
35,424.09
36,700.12
37,428.01
38,368.43
39,453.63
40,312.94
41,636.91
42,545.52
43,136.46
44,366.49
45,292.45
46,299.69
47,171.92
48,723.13
49,357.31
50,224.60
51,690.08
52,801.42
53,691.65
54,194.51
55,640.47
56,880.09
57,681.04
58,609.04
59,959.28
60,473.41
61,746.74
62,920.13
63,919.91
64,950.99
65,763.51
66,288.58
67,716.77
68,719.83
69,428.61
70,129.82
71,127.68
72,874.84
73,375.34
74,352.05
75,612.42
76,694.76
77,243.82
78,757.86
79,591.83
80,196.32
81,546.25
82,717.14
83,574.18
84,700.92
85,397.48
86,806.36
87,842.93
88,590.63
89,118.94
90,616.30
91,825.93
92,886.51
93,384.09
94,376.10
95,806.91
96,810.43
97,690.97
98,321.66
99,951.39
100,927.11
